City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Lázaro Cárdenas,17.9583,-102.2,24.61,75,82,1.7,MX,1619496156
Avila,40.5833,-5.0,8.33,89,56,0.89,ES,1619496171
Bredasdorp,-34.5322,20.0403,14.0,88,97,1.54,ZA,1619496039
Ushuaia,-54.8,-68.3,6.0,87,40,1.03,AR,1619495977
Jaisinghnagar,23.7,81.3833,35.71,6,76,1.75,IN,1619496172
Derzhavīnsk,51.1,66.3167,16.87,41,100,5.53,KZ,1619496172
Arraial do Cabo,-22.9661,-42.0278,23.59,78,98,0.9,BR,1619496173
Los Llanos de Aridane,28.6585,-17.9182,19.0,72,75,0.51,ES,1619496173
Shar,49.5886,81.0453,16.32,29,100,3.84,KZ,1619496103
Albany,42.6001,-73.9662,5.56,46,6,1.79,US,1619496023
Kavieng,-2.5744,150.7967,29.18,66,48,1.9,PG,1619496174
Ugoofaaru,5.6667,73.0,28.84,71,85,2.87,MV,1619496174
Chapais,49.7834,-74.8492,-1.0,55,1,3.6,CA,1619496174
Bambous Virieux,-20.3428,57.7575,24.0,94,75,5.66,MU,1619496175
Solnechnyy,50.7214,136.6319,14.71,27,100,5.13,RU,1619496175
Toyooka,35.5333,134.8333,19.0,32,0,2.57,JP,1619496176
Kita,13.0349,-9.4895,30.17,34,97,1.37,ML,1619496176
Mount Gambier,-37.8333,140.7667,15.0,72,90,2.57,AU,1619496176
Puerto Ayora,-0.7393,-90.3518,23.7,91,35,2.32,EC,1619496177
Hithadhoo,-0.6,73.0833,28.08,61,7,0.83,MV,1619496177
Avarua,-21.2078,-159.775,28.0,69,75,1.03,CK,1619496096
Lebu,-37.6167,-73.65,11.77,87,54,3.63,CL,1619496001
Kapaa,22.0752,-159.319,26.0,65,40,4.63,US,1619496178
Kalabo,-14.97,22.6814,17.1,84,57,1.24,ZM,1619496178
Dikson,73.5069,80.5464,-0.2,98,100,7.66,RU,1619496179
Hobart,-42.8794,147.3294,18.89,48,40,3.09,AU,1619496151
Castro,-24.7911,-50.0119,12.73,94,2,1.42,BR,1619496179
Alofi,-19.0595,-169.9187,28.0,83,82,4.12,NU,1619496179
Kununurra,-15.7667,128.7333,31.0,51,90,2.57,AU,1619496082
Rikitea,-23.1203,-134.9692,25.56,72,100,2.7,PF,1619495980
Yellowknife,62.456,-114.3525,-13.89,61,75,3.6,CA,1619496180
Olean,42.0776,-78.4297,5.0,48,90,2.06,US,1619495934
Nikolskoye,59.7035,30.7861,4.0,81,75,3.0,RU,1619496181
Upernavik,72.7868,-56.1549,0.27,73,100,1.8,GL,1619496078
Vaini,-21.2,-175.2,24.0,94,90,2.57,TO,1619496181
Puerto Madryn,-42.7692,-65.0385,16.9,59,75,2.29,AR,1619496157
Guarapuava,-25.3953,-51.4581,8.38,86,0,1.03,BR,1619496127
Malbork,54.0359,19.0266,2.78,65,92,2.72,PL,1619496182
Mayo,38.8876,-76.5119,11.11,71,1,2.26,US,1619496183
Mar del Plata,-38.0023,-57.5575,12.78,93,0,0.86,AR,1619496036
Saint Paul Harbor,57.79,-152.4072,6.0,87,90,7.2,US,1619496183
Serik,36.9169,31.0989,17.0,45,0,4.63,TR,1619496183
Mataura,-46.1927,168.8643,7.78,76,91,1.34,NZ,1619496092
Geraldton,-28.7667,114.6,31.0,20,20,1.54,AU,1619496088
Kumul,42.8,93.45,14.55,10,68,1.32,CN,1619496184
Spencer,43.1414,-95.1444,12.0,66,90,6.69,US,1619496185
La Ronge,55.1001,-105.2842,-1.0,59,95,4.12,CA,1619496185
Aripuanã,-9.1667,-60.6333,21.86,98,100,0.67,BR,1619496185
Khatanga,71.9667,102.5,-3.8,92,100,8.33,RU,1619495987
Lac du Bonnet,50.2536,-96.0612,6.67,99,100,1.89,CA,1619496186
Saint-François,46.4154,3.9054,7.0,93,0,1.03,FR,1619496186
Busselton,-33.65,115.3333,25.56,65,35,0.89,AU,1619496187
Aljezur,37.3191,-8.8033,13.89,92,58,2.12,PT,1619496187
Muros,42.7762,-9.0603,12.22,92,22,2.97,ES,1619496187
Kisanga,-7.4362,37.7034,21.79,97,81,1.3,TZ,1619496188
Severo-Kuril'sk,50.6789,156.125,0.55,99,100,6.5,RU,1619496188
Bluff,-46.6,168.3333,7.78,76,92,1.34,NZ,1619496069
Biak,-0.9131,122.8766,28.76,66,27,1.55,ID,1619496189
Vanimo,-2.6741,141.3028,29.76,67,11,2.89,PG,1619496189
Ponta do Sol,32.6667,-17.1,15.0,76,84,0.89,PT,1619496081
Luanda,-8.8368,13.2343,24.0,88,75,3.09,AO,1619495945
Coquimbo,-29.9533,-71.3436,15.0,77,90,1.54,CL,1619496190
Batagay-Alyta,67.8006,130.4114,-5.4,92,100,5.74,RU,1619496190
New Norfolk,-42.7826,147.0587,18.89,39,35,2.24,AU,1619496067
Jamestown,42.097,-79.2353,8.33,42,75,3.6,US,1619496190
Hoquiam,46.9809,-123.8893,10.0,81,1,1.54,US,1619496137
Cherskiy,68.75,161.3,-3.42,75,44,2.48,RU,1619496191
Qaanaaq,77.484,-69.3632,0.97,67,100,3.29,GL,1619496191
Saiha,22.4833,92.9667,33.93,26,1,2.17,IN,1619496192
Punta Arenas,-53.15,-70.9167,7.0,93,90,2.57,CL,1619496063
Tessalit,20.1986,1.0114,29.67,10,31,3.99,ML,1619496192
Bandarbeyla,9.4942,50.8122,28.48,71,57,1.94,SO,1619496193
Faya,18.3851,42.4509,14.0,82,40,1.77,SA,1619496031
East London,-33.0153,27.9116,17.0,82,0,2.57,ZA,1619496010
General Pico,-35.6566,-63.7568,11.7,79,0,3.34,AR,1619496193
Flinders,-34.5833,150.8552,23.33,60,7,1.79,AU,1619496194
Butaritari,3.0707,172.7902,28.31,75,42,5.66,KI,1619496194
Oranjemund,-28.55,16.4333,15.02,86,79,2.29,NA,1619496195
Tasiilaq,65.6145,-37.6368,2.0,75,75,3.06,GL,1619496195
